"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTKSTNR20MOREON","PARTKSTR20MOREON","PARTKST20MOREOFF","PARTKST20MORETOT","PARTKSTNR20LESSON","PARTKST20LESSOFF","PARTKST20LESSTOT","PARTKNSTNR125MOREON","PARTKNSTR125MOREON","PARTKNST125MOREOFF","PARTKNST125MORETOT","PARTKNSTNR125LESSON","PARTKNST125LESSOFF","PARTKNST125LESSTOT","PARTKNONRURALONTOTAL","PARTKRURALONTOTAL","PARTKOFFTOTAL","PARTKTOTAL"
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","NEW JERSEY",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110416,10439,32044,"BP USFO/LOGISTICS","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","OHIO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110442,10474,32051,"MARTIN OPERATING PARTNERSHIP, L.P.","HVL","INTRASTATE","TEXAS",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110446,10482,32052,"SABCO OPERATING COMPANY","HVL","INTRASTATE","TEXAS",,,,,,3.2,3.2,,,,,,,,,,3.2,3.2
41089.4660648148,2010,20110405,10428,32062,"IMTT-PIPELINE","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW JERSEY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4660648148,2010,20110405,10428,32062,"IMTT-PIPELINE","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW YORK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4660648148,2010,20110405,10428,32062,"IMTT-PIPELINE","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","NEW JERSEY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4660648148,2010,20110063,10064,32073,"AGAVE ENERGY COMPANY","HVL","INTRASTATE","NEW MEXICO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110243,11007,32080,"CCPS TRANSPORTATION, LLC","Crude Oil","INTERSTATE","KANSAS",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110243,11007,32080,"CCPS TRANSPORTATION, LLC","Crude Oil","INTERSTATE","MISSOURI",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110243,11007,32080,"CCPS TRANSPORTATION, LLC","Crude Oil","INTERSTATE","OKLAHOMA",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110016,10016,32082,"ARC TERMINALS","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","OHIO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110426,10451,32083,"DCOR, LLC","Crude Oil","INTERSTATE","CALIFORNIA",,0.73,27.55,28.28,,,,,,,,,,,,0.73,27.55,28.28
41089.4660648148,2010,20110426,10451,32083,"DCOR, LLC","Crude Oil","INTERSTATE","OCS-Pacific",,0.73,27.55,28.28,,,,,,,,,,,,0.73,27.55,28.28
41089.4660648148,2010,20110426,10451,32083,"DCOR, LLC","Crude Oil","INTRASTATE","CALIFORNIA",4.2,,3.56,7.76,0.53,1.4,1.93,,,,,,,,4.73,,4.96,9.69
41089.4660648148,2010,20110426,10451,32083,"DCOR, LLC","Crude Oil","INTRASTATE","OCS-Pacific",,,4.81,4.81,,,,,,,,,,,,,4.81,4.81
41089.4660648148,2010,20110283,10495,32091,"WILLIAMS OIL GATHERING, LLC","Crude Oil","INTERSTATE","LOUISIANA",,,0,0,,0,0,,,0,0,,0,0,,,0,0
41089.4660648148,2010,20110262,10327,32095,"LBC HOUSTON, L.P.","HVL","INTRASTATE","TEXAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110312,10323,32095,"LBC HOUSTON, L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110353,10365,32096,"WYNNEWOOD REFINERY COMPANY","Crude Oil","INTRASTATE","OKLAHOMA",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110450,10491,32103,"CRIMSON PIPELINE L.P.","Crude Oil","INTRASTATE","CALIFORNIA",520.81,0,,520.81,4.67,,4.67,0,0,,0,0,,0,525.48,0,,525.48
41089.4660648148,2010,20110068,10069,32107,"CROSSTEX NGL PIPELINE, L.P.","HVL","INTRASTATE","TEXAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110376,10487,32109,"ONEOK NGL PIPELINE LP","HVL","INTERSTATE","ILLINOIS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
